Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
0.0,-0.10517154896266337,-0.11753577109896618,-0.00916442509951132,
0.009994896,0.14857917534852366,0.08314230945330081,-0.3817845124917181,
0.020001771,-0.14832956902895897,0.06938688978847836,-0.6434891334308741,
0.030006094,0.16385214477606988,-0.017274217603230682,0.25709971498381634,
0.039993385,-0.0882271492494871,-0.073195578096409,0.2478176809225996,
0.050007292,0.1008431105602797,-0.02599531526414503,0.2710378056267526,
0.059995781,-0.05914688596812756,0.03666458634497363,-0.3491586776177389,
0.069985937,0.05994272438933157,0.0379507927732598,-0.17972824824653344,
0.079990833,-0.03632171584566671,-0.017523400891865798,-0.016411382776913896,
0.089980833,0.04564171327431807,-0.03700305852019431,0.2684291213175314,
0.100024115,-0.021905147685370385,-0.01236418750066473,-0.1070370984537874,
0.110003958,0.02269846705296713,0.031288914949266805,-0.14404871562826393,
0.120005365,0.016243414145303392,-0.00465696408703431,0.05618589322004475,
0.130017969,-0.0013704768327135741,-0.01809079133951269,0.11102918942955142,
0.14007974,0.005607376773575229,-0.0020227844197241718,0.03710826365301578,
0.15002375,0.0035282216703250158,0.019450750773852,-0.07757352091352487,
0.160004687,-0.00579654040055641,0.011729881624940985,-0.059185586750350794,
0.170006458,1.5116642223064747E-4,-0.004981302849003499,0.034054118490345786,
0.180000833,-0.0027521061078209508,-0.009731132691342681,0.053100838737590195,
0.19007776,0.00162903410788387,-0.0049118669074686705,0.010876667083822511,
0.200023125,-0.005400530953439009,0.007562675377375899,-0.046843710278254846,
0.209995469,-0.0033627450142160453,0.007965511719899981,-0.010659935263619857,
0.220005417,0.0011405229827677887,-0.004162079778895683,0.02116031472855795,
0.230032239,0.0028277778832845324,-0.00620271498965097,0.03033538679261305,
0.240003854,0.0022622223066276204,0.001741598168954278,-0.01308139149364429,
0.250023125,-1.0558165176821621E-4,0.00713935702637436,-0.02195727017733695,
0.260000625,-0.004872864064090349,9.230868784237123E-4,-0.009904378153589022,
0.270033125,-6.757225713166504E-5,-2.1921024579618642E-4,0.019849782389238513,
0.280039635,0.0037766611884353096,-1.753681966369658E-4,0.01587982591139081,
0.290004427,0.006852047944888862,-0.0020556540543798796,-0.009322964222059582,
0.300686198,-0.003137479380905306,0.005059234996242196,-0.022781247354210166,
0.309999844,0.003236094986486693,0.0011743487513883044,-2.8891926337593077E-5,
0.320715469,-0.005072561999091896,-0.006721958987170595,0.00859581346088234,
0.330042969,-0.0011850103536680534,-0.002504527944131002,0.0068766507687065825,
0.340331198,0.004798070208276495,-0.0010459426067696564,-0.0031176063869882142,
0.35004875,-0.0019076223245897417,0.008740055320864804,-0.014944494045137091,
0.359989844,0.004219980631539139,-0.001627085401053524,-4.634382536874426E-4,
0.370043854,-0.0014124142374444815,-0.0013016683208428304,0.0072906873853320064,
